population,CD3,CD4,CD8a,CD19,CD20,CD56,CD16,CD14,CD11b,CD11c,CD45RA,CD45RO,CD27,CD28,CD38,CD127,CD25,CD123,HLA_DR,TCRab,TCRgd,CCR7,CXCR5,PD_1,FoxP3,GranzymeB,Ki67,CD57,CD161,CLEC9A
CD4_T,3,3,0,0,0,0,0,0,0,0,1,1,2,2,1,2,1,0,0,3,0,1,0,1,0,0,0,0,0,0
CD8_T,3,0,3,0,0,0,0,0,0,0,1,1,2,2,1,2,0,0,0,3,0,1,0,1,0,1,0,1,0,0
NK,0,0,1,0,0,2,2,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
B_cell,0,0,0,3,3,0,0,0,0,0,2,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
CD14_Mono,0,0,0,0,0,0,0,3,3,2,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
CD16_Mono,0,0,0,0,0,0,3,1,2,2,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
mDC,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
pDC,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
Treg,3,3,0,0,0,0,0,0,0,0,0,2,2,2,1,1,3,0,0,3,0,1,0,1,3,0,0,0,0,0
NKT,3,0,1,0,0,2,0,0,0,0,1,1,1,1,1,1,0,0,0,3,0,0,0,0,0,1,0,0,1,0
Basophil,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Classical_Mono,0,0,0,0,0,0,0,3,3,2,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Nonclassical_Mono,0,0,0,0,0,0,3,1,2,2,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Intermediate_Mono,0,0,0,0,0,0,1,3,3,2,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
mDC1,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
mDC2,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Neutrophil,0,0,0,0,0,0,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eosinophil,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CD4_Tnaive,3,3,0,0,0,0,0,0,0,0,3,0,3,3,1,3,1,0,0,3,0,3,0,0,0,0,0,0,0,0
CD4_Tcm,3,3,0,0,0,0,0,0,0,0,0,2,3,3,1,3,1,0,0,3,0,3,1,1,0,0,0,0,0,0
CD4_Tem,3,3,0,0,0,0,0,0,0,0,0,3,1,1,1,2,1,0,0,3,0,0,0,1,0,1,0,0,0,0
CD4_Teff,3,3,0,0,0,0,0,0,0,0,1,2,1,0,1,1,1,0,0,3,0,0,0,2,0,2,1,1,0,0
CD8_Tnaive,3,0,3,0,0,0,0,0,0,0,3,0,3,3,1,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0
CD8_Tcm,3,0,3,0,0,0,0,0,0,0,0,2,3,2,1,3,0,0,0,3,0,3,0,1,0,0,0,0,0,0
CD8_Tem,3,0,3,0,0,0,0,0,0,0,0,3,1,1,1,2,0,0,0,3,0,0,0,2,0,2,0,1,0,0
CD8_Teff,3,0,3,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,3,0,0,0,2,0,3,1,2,0,0
MAIT,3,0,2,0,0,0,0,0,0,0,0,2,1,1,1,2,0,0,0,2,0,0,0,1,0,1,0,0,3,0
iNKT,3,1,1,0,0,2,0,0,0,0,0,2,1,1,1,1,0,0,0,3,0,0,0,0,0,1,0,0,1,0
B_naive,0,0,0,3,3,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
B_memory,0,0,0,3,3,0,0,0,0,0,0,2,3,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
B_transitional,0,0,0,3,2,0,0,0,0,0,3,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Plasmablast,0,0,0,2,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
NK_CD56bright,0,0,0,0,0,3,1,0,1,0,2,0,2,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
NK_CD56dim,0,0,0,0,0,2,3,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
NK_adaptive,0,0,0,0,0,2,3,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0
